,Consumption
1979-01-01,251
1979-02-01,266
1979-03-01,230
1979-04-01,246
1979-05-01,219
1979-06-01,223
1979-07-01,203
1979-08-01,187
1979-09-01,205
1979-10-01,227
1979-11-01,251
1979-12-01,249
1980-01-01,249
1980-02-01,265
1980-03-01,238
1980-04-01,244
1980-05-01,217
1980-06-01,215
1980-07-01,214
1980-08-01,200
1980-09-01,207
1980-10-01,222
1980-11-01,244
1980-12-01,246
1981-01-01,252
1981-02-01,252
1981-03-01,229
1981-04-01,242
1981-05-01,219
1981-06-01,217
1981-07-01,213
1981-08-01,203
1981-09-01,199
1981-10-01,224
1981-11-01,245
1981-12-01,240
1982-01-01,254
1982-02-01,247
1982-03-01,214
1982-04-01,233
1982-05-01,210
1982-06-01,201
1982-07-01,197
1982-08-01,185
1982-09-01,186
1982-10-01,200
1982-11-01,213
1982-12-01,216
1983-01-01,222
1983-02-01,222
1983-03-01,205
1983-04-01,221
1983-05-01,210
1983-06-01,205
1983-07-01,195
1983-08-01,181
1983-09-01,183
1983-10-01,192
1983-11-01,218
1983-12-01,232
1984-01-01,247
1984-02-01,237
1984-03-01,213
1984-04-01,225
1984-05-01,198
1984-06-01,211
1984-07-01,198
1984-08-01,189
1984-09-01,210
1984-10-01,219
1984-11-01,238
1984-12-01,238
1985-01-01,243
1985-02-01,256
1985-03-01,219
1985-04-01,234
1985-05-01,202
1985-06-01,211
1985-07-01,206
1985-08-01,194
1985-09-01,196
1985-10-01,205
1985-11-01,228
1985-12-01,236
1986-01-01,225
1986-02-01,249
1986-03-01,229
1986-04-01,240
1986-05-01,228
1986-06-01,211
1986-07-01,214
1986-08-01,209
1986-09-01,213
1986-10-01,225
1986-11-01,257
1986-12-01,252
1987-01-01,261
1987-02-01,271
1987-03-01,239
1987-04-01,255
1987-05-01,221
1987-06-01,217
1987-07-01,213
1987-08-01,210
1987-09-01,203
1987-10-01,219
1987-11-01,235
1987-12-01,245
1988-01-01,252
1988-02-01,244
1988-03-01,229
1988-04-01,245
1988-05-01,215
1988-06-01,216
1988-07-01,216
1988-08-01,206
1988-09-01,219
1988-10-01,232
1988-11-01,243
1988-12-01,250
1989-01-01,261
1989-02-01,258
1989-03-01,237
1989-04-01,250
1989-05-01,232
1989-06-01,231
1989-07-01,233
1989-08-01,223
1989-09-01,229
1989-10-01,244
1989-11-01,264
1989-12-01,266
1990-01-01,280
1990-02-01,273
1990-03-01,243
1990-04-01,262
1990-05-01,240
1990-06-01,247
1990-07-01,242
1990-08-01,240
1990-09-01,249
1990-10-01,249
1990-11-01,272
1990-12-01,271
1991-01-01,276
1991-02-01,283
1991-03-01,260
1991-04-01,269
1991-05-01,248
1991-06-01,253
1991-07-01,246
1991-08-01,251
1991-09-01,253
1991-10-01,256
1991-11-01,279
1991-12-01,275
1992-01-01,282
1992-02-01,289
1992-03-01,269
1992-04-01,282
1992-05-01,259
1992-06-01,258
1992-07-01,256
1992-08-01,259
1992-09-01,250
1992-10-01,263
1992-11-01,286
1992-12-01,282
1993-01-01,291
1993-02-01,290
1993-03-01,266
1993-04-01,284
1993-05-01,260
1993-06-01,256
1993-07-01,258
1993-08-01,259
1993-09-01,255
